obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""181.407""","=""181.4079""","=""500w""","=""1.15e+08""","=""7.96e-02""","=""2.38e+00""","=""-0.400""",C,"=""0.7809579""","=""7.615510""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""1F*""","=""3""",5,7,,"=""T5071""","=""L3521""",
"=""182.245""","=""""","=""50""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""183.651""","=""183.65100""","=""200""","=""1.31e+07""","=""1.10e-02""","=""2.00e-01""","=""-1.481""",D+,"=""0.0095610""","=""6.7606376""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""2""",3,5,,"=""T5071""","=""L3521""",
"=""183.801""","=""""","=""30w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""184.115""","=""184.11521""","=""100w""","=""1.50e+07""","=""2.29e-02""","=""1.39e-01""","=""-1.640""",D,"=""0.0000000""","=""6.7340552""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.5s""","=""3P*""","=""1""",1,3,,"=""T5071""","=""L3521""",
"=""184.144""","=""184.14489""","=""200""","=""3.67e+07""","=""1.87e-02""","=""5.66e-01""","=""-1.029""",D+,"=""0.0276679""","=""6.7606376""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""2""",5,5,,"=""T5071""","=""L3521""",
"=""184.377""","=""184.37699""","=""200""","=""3.35e+07""","=""1.71e-02""","=""3.11e-01""","=""-1.290""",D+,"=""0.0095610""","=""6.7340552""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""1""",3,3,,"=""T5071""","=""L3521""",
"=""184.551""","=""184.55202""","=""300""","=""1.68e+08""","=""2.58e-01""","=""1.56e+00""","=""-0.588""",C+,"=""0.0000000""","=""6.7181165""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.3d""","=""3D*""","=""1""",1,3,,"=""T8363c22""","=""L3521""",
"=""184.610""","=""184.61116""","=""100""","=""5.68e+07""","=""9.67e-03""","=""1.76e-01""","=""-1.537""",E,"=""0.0095610""","=""6.7255253""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""0""",3,1,,"=""T8363""","=""L3521""",
"=""184.747""","=""184.74735""","=""400""","=""2.33e+08""","=""1.99e-01""","=""3.62e+00""","=""-0.224""",C+,"=""0.0095610""","=""6.7205746""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""2""",3,5,,"=""T8363c22""","=""L3521""",
"=""184.814""","=""184.81505""","=""200""","=""1.23e+08""","=""6.32e-02""","=""1.15e+00""","=""-0.722""",C+,"=""0.0095610""","=""6.7181165""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""1""",3,3,,"=""T8363c22""","=""L3521""",
"=""184.874""","=""184.87480""","=""100""","=""3.92e+07""","=""1.21e-02""","=""3.67e-01""","=""-1.218""",D+,"=""0.0276679""","=""6.7340552""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""1""",5,3,,"=""T5071""","=""L3521""",
"=""185.067""","=""185.06720""","=""500""","=""3.05e+08""","=""2.19e-01""","=""6.67e+00""","=""0.039""",C+,"=""0.0276679""","=""6.7270828""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""3""",5,7,,"=""T8363c22""","=""L3521""",
"=""185.179""","=""""","=""30w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""185.246""","=""185.24716""","=""200""","=""7.40e+07""","=""3.81e-02""","=""1.16e+00""","=""-0.720""",C+,"=""0.0276679""","=""6.7205746""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""2""",5,5,,"=""T8363c22""","=""L3521""",
"=""185.315""","=""185.31522""","=""50""","=""7.92e+06""","=""2.45e-03""","=""7.46e-02""","=""-1.912""",C,"=""0.0276679""","=""6.7181165""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""1""",5,3,,"=""T8363c22""","=""L3521""",
"=""187.310""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""187.484""","=""187.48424""","=""500w""","=""1.07e+08""","=""3.40e-02""","=""1.05e+00""","=""-0.770""",D,"=""0.7809579""","=""7.3940044""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).6s<1/2>""","=""(3/2,1/2)*""","=""1""",5,3,,"=""T5071""","=""L3521""",
"=""187.581""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""188.185""","=""188.1854""","=""200""","=""5.00e+06""","=""3.72e-03""","=""1.15e-01""","=""-1.730""",D+,"=""0.0276679""","=""6.616075""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""1F*""","=""3""",5,7,,"=""T5814""","=""L3521""",
"=""188.770""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""189.06372""","=""""","=""4.45e+00""","=""2.38e-09""","=""4.80e-01""","=""-7.92""",D,"=""0.7809579""","=""7.3387576""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",5,5,E2,"=""T5785""","=""""",
"=""""","=""189.0659""","=""""","=""2.28e-03""","=""7.33e-13""","=""1.47e-04""","=""-11.44""",E,"=""0.7809579""","=""7.338682""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",5,3,E2,"=""T5785""","=""""",
"=""""","=""189.27542""","=""""","=""9.32e+01""","=""9.01e-08""","=""1.82e+01""","=""-6.35""",D+,"=""0.7809579""","=""7.3314227""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[9/2]""","=""4""",5,9,E2,"=""T5785""","=""""",
"=""189.325""","=""""","=""200w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""189.35075""","=""""","=""4.66e+00""","=""2.50e-09""","=""5.06e-01""","=""-7.90""",D,"=""0.7809579""","=""7.3288166""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",5,5,E2,"=""T5785""","=""""",
"=""""","=""189.35410""","=""""","=""1.09e+02""","=""8.20e-08""","=""1.66e+01""","=""-6.39""",D+,"=""0.7809579""","=""7.3287009""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",5,7,E2,"=""T5785""","=""""",
"=""""","=""189.62329""","=""""","=""3.03e+01""","=""2.29e-08""","=""4.65e+00""","=""-6.94""",D+,"=""0.7809579""","=""7.3194057""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",5,7,E2,"=""T5785""","=""""",
"=""190.133""","=""190.1338""","=""1000w""","=""1.00e+08""","=""7.60e-02""","=""2.38e+00""","=""-0.420""",C,"=""0.7809579""","=""7.301851""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4d""","=""1F*""","=""3""",5,7,,"=""T5071""","=""L3521""",
"=""190.466""","=""190.46647""","=""50w""","=""4.87e+06""","=""1.59e-03""","=""4.98e-02""","=""-2.100""",D,"=""0.7809579""","=""7.2904604""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4d""","=""1P*""","=""1""",5,3,,"=""T5071""","=""L3521""",
"=""""","=""190.51237""","=""""","=""3.40e+01""","=""3.33e-08""","=""6.86e+00""","=""-6.78""",D+,"=""0.7809579""","=""7.2888922""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<1/2>).4f""","=""2[7/2]""","=""4""",5,9,E2,"=""T5785""","=""""",
"=""195.497""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""197.75979""","=""""","=""2.79e+07""","=""4.91e-02""","=""3.20e-01""","=""-1.309""",B,"=""0.0000000""","=""6.2694342""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.3d""","=""3P*""","=""1""",1,3,,"=""T5814""","=""""",
"=""""","=""197.9205""","=""""","=""8.69e+07""","=""1.70e-02""","=""3.33e-01""","=""-1.292""",B,"=""0.0095610""","=""6.273903""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3P*""","=""0""",3,1,,"=""T5814""","=""""",
"=""""","=""198.06184""","=""""","=""2.07e+07""","=""1.22e-02""","=""2.38e-01""","=""-1.437""",B,"=""0.0095610""","=""6.2694342""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3P*""","=""1""",3,3,,"=""T5814""","=""""",
"=""""","=""198.32328""","=""""","=""2.18e+07""","=""2.14e-02""","=""4.20e-01""","=""-1.192""",B,"=""0.0095610""","=""6.2611819""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3P*""","=""2""",3,5,,"=""T5814""","=""""",
"=""198.443""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""198.63640""","=""""","=""3.65e+07""","=""1.29e-02""","=""4.23e-01""","=""-1.190""",B,"=""0.0276679""","=""6.2694342""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3P*""","=""1""",5,3,,"=""T5814""","=""""",
"=""""","=""198.89937""","=""""","=""6.58e+07""","=""3.90e-02""","=""1.28e+00""","=""-0.710""",B,"=""0.0276679""","=""6.2611819""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3P*""","=""2""",5,5,,"=""T5814""","=""""",
"=""199.185""","=""""","=""50""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""201.162""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""205.549""","=""""","=""50""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""205.87916""","=""""","=""7.08e+07""","=""2.70e-02""","=""9.14e-01""","=""-0.870""",C,"=""0.7809579""","=""6.8031408""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5s""","=""1P*""","=""1""",5,3,,"=""T5071""","=""""",
"=""206.185""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""206.618""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""207.34254""","=""""","=""4.59e+05""","=""2.96e-04""","=""1.01e-02""","=""-2.830""",E,"=""0.7809579""","=""6.7606376""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5s""","=""3P*""","=""2""",5,5,,"=""T5071""","=""""",
"=""""","=""208.26839""","=""""","=""6.45e+06""","=""2.52e-03""","=""8.63e-02""","=""-1.900""",D,"=""0.7809579""","=""6.7340552""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5s""","=""3P*""","=""1""",5,3,,"=""T5071""","=""""",
"=""""","=""208.51260""","=""""","=""2.73e+06""","=""2.49e-03""","=""8.55e-02""","=""-1.905""",D+,"=""0.7809579""","=""6.7270828""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""3D*""","=""3""",5,7,,"=""T8363c22,T5071""","=""""",
