obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""685.0458""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""697.8447""","=""697.844""","=""80""","=""3.26e+06""","=""3.97e-02""","=""2.74e+00""","=""-0.924""",D,"=""5.9537304""","=""7.730406""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.6d""","=""3F*""","=""2""",3,5,,"=""T6066LS""","=""L3521""",
"=""700.5498""","=""700.5501""","=""180""","=""3.42e+06""","=""3.52e-02""","=""4.06e+00""","=""-0.754""",D+,"=""5.9639280""","=""7.7337400""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.6d""","=""3F*""","=""3""",5,7,,"=""T6066LS""","=""L3521""",
"=""700.7815""","=""700.781""","=""180""","=""3.83e+06""","=""3.63e-02""","=""5.86e+00""","=""-0.595""",D+,"=""5.9840096""","=""7.753238""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.6d""","=""3F*""","=""4""",7,9,,"=""T6066LS""","=""L3521""",
"=""""","=""701.872""","=""""","=""5.96e+05""","=""4.40e-03""","=""5.08e-01""","=""-1.658""",E,"=""5.9639280""","=""7.730406""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.6d""","=""3F*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""701.922""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""701.9581""","=""""","=""90""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""703.6843""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""708.5903""","=""""","=""4.13e+05""","=""3.11e-03""","=""5.08e-01""","=""-1.662""",E,"=""5.9840096""","=""7.7337400""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.6d""","=""3F*""","=""3""",7,7,,"=""T6066LS""","=""""",
"=""""","=""709.943""","=""""","=""1.62e+04""","=""8.76e-05""","=""1.43e-02""","=""-3.212""",E,"=""5.9840096""","=""7.730406""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.6d""","=""3F*""","=""2""",7,5,,"=""T6066LS""","=""""",
"=""716.666""","=""""","=""70""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""716.7520""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""718.687""","=""""","=""70""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""719.556""","=""719.554""","=""65""","=""7.17e+05""","=""1.67e-02""","=""3.96e-01""","=""-1.777""",E,"=""6.0787337""","=""7.801805""","=""3s2.3p.4p""","=""3P""","=""0""","=""3s2.3p.6d""","=""3D*""","=""1""",1,3,,"=""T6066LS""","=""L3521""",
"=""719.588""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""721.230""","=""""","=""5.35e+05""","=""4.17e-03""","=""2.97e-01""","=""-1.903""",E,"=""6.0827393""","=""7.801805""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.6d""","=""3D*""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""722.8197""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""723.7320""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""723.781""","=""""","=""60""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""725.2623""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""727.404""","=""""","=""1.25e+06""","=""1.39e-02""","=""1.66e+00""","=""-1.158""",D,"=""6.0986113""","=""7.803087""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""727.7299""","=""""","=""160""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""727.951""","=""""","=""3.46e+04""","=""1.65e-04""","=""1.98e-02""","=""-3.084""",E,"=""6.0986113""","=""7.801805""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""1""",5,3,,"=""T6066LS""","=""""",
"=""728.482""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""729.1181""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""729.161""","=""""","=""9.33e+05""","=""1.24e-02""","=""8.93e-01""","=""-1.429""",E,"=""6.0827393""","=""7.783107""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.6d""","=""3D*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""729.227""","=""""","=""55""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""736.032""","=""""","=""3.02e+05""","=""2.45e-03""","=""2.97e-01""","=""-1.912""",E,"=""6.0986113""","=""7.783107""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""737.503""","=""""","=""35""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""740.7814""","=""""","=""375""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""741.1123""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""741.739""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""741.7989""","=""""","=""275""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""742.5542""","=""""","=""425""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""742.664""","=""""","=""85""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""768.2381""","=""768.2380""","=""100""","=""4.62e+06""","=""6.81e-02""","=""5.16e+00""","=""-0.690""",C+,"=""5.8624764""","=""7.4763538""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.5d""","=""1D*""","=""2""",3,5,,"=""T2301""","=""L3521""",
"=""774.484""","=""774.485""","=""40""","=""5.34e+06""","=""5.87e-02""","=""1.35e+01""","=""-0.277""",C,"=""6.206004""","=""7.806865""","=""3s2.3p.3d""","=""3F*""","=""4""","=""3s2.3p.(2P*<3/2>).6f""","=""2[9/2]""","=""5""",9,11,,"=""T6066LS'""","=""L3521""",
"=""780.2154""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""785.2127""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""792.0564""","=""792.0562""","=""90""","=""5.22e+06""","=""8.18e-02""","=""6.40e+00""","=""-0.610""",C+,"=""5.9537304""","=""7.5190764""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.5d""","=""3F*""","=""2""",3,5,,"=""T2301""","=""L3521""",
"=""""","=""792.803""","=""""","=""2.08e+06""","=""2.75e-02""","=""3.59e+00""","=""-0.862""",D,"=""6.2226912""","=""7.786562""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.6d""","=""1F*""","=""3""",5,7,,"=""T6066""","=""""",
"=""793.4531""","=""793.4530""","=""120""","=""5.13e+06""","=""6.78e-02""","=""8.85e+00""","=""-0.470""",C+,"=""5.9639280""","=""7.5265183""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.5d""","=""3F*""","=""3""",5,7,,"=""T2301""","=""L3521""",
"=""794.6186""","=""794.6186""","=""140""","=""5.75e+06""","=""7.00e-02""","=""1.28e+01""","=""-0.310""",B,"=""5.9840096""","=""7.5443078""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.5d""","=""3F*""","=""4""",7,9,,"=""T2301""","=""L3521""",
"=""797.2498""","=""797.2499""","=""35""","=""7.11e+05""","=""6.78e-03""","=""8.89e-01""","=""-1.470""",C,"=""5.9639280""","=""7.5190764""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.5d""","=""3F*""","=""2""",5,5,,"=""T2301""","=""L3521""",
"=""""","=""800.889""","=""""","=""9.20e+04""","=""5.31e-04""","=""7.00e-02""","=""-2.576""",E,"=""6.2611819""","=""7.809264""","=""3s2.3p.3d""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",5,3,,"=""T6066LS'""","=""""",
"=""""","=""801.059""","=""""","=""9.77e+05""","=""2.82e-02""","=""7.44e-01""","=""-1.550""",E,"=""6.0787337""","=""7.626487""","=""3s2.3p.4p""","=""3P""","=""0""","=""3s2.3p.5d""","=""3D*""","=""1""",1,3,,"=""T6066LS""","=""""",
"=""""","=""803.137""","=""""","=""7.26e+05""","=""7.02e-03""","=""5.57e-01""","=""-1.677""",E,"=""6.0827393""","=""7.626487""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.5d""","=""3D*""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""803.7829""","=""803.7828""","=""35""","=""8.11e+05""","=""7.86e-03""","=""1.46e+00""","=""-1.259""",D,"=""5.9840096""","=""7.5265183""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.5d""","=""3F*""","=""3""",7,7,,"=""T8363""","=""L3521""",
"=""""","=""805.181""","=""""","=""1.36e+06""","=""1.32e-02""","=""1.05e+00""","=""-1.402""",D,"=""6.2694342""","=""7.809264""","=""3s2.3p.3d""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",3,3,,"=""T6066LS'""","=""""",
"=""""","=""807.281""","=""""","=""1.29e+06""","=""2.10e-02""","=""1.67e+00""","=""-1.201""",D,"=""6.0827393""","=""7.618564""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.5d""","=""3D*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""807.3503""","=""""","=""1.72e+06""","=""2.35e-02""","=""3.12e+00""","=""-0.930""",D,"=""6.0986113""","=""7.6343040""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.5d""","=""3D*""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""""","=""807.525""","=""""","=""1.80e+06""","=""5.27e-02""","=""1.40e+00""","=""-1.278""",D,"=""6.273903""","=""7.809264""","=""3s2.3p.3d""","=""3P*""","=""0""","=""3s2.3p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",1,3,,"=""T6066LS'""","=""""",
"=""""","=""807.6795""","=""""","=""3.16e+04""","=""2.21e-04""","=""4.11e-02""","=""-2.811""",E,"=""5.9840096""","=""7.5190764""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.5d""","=""3F*""","=""2""",7,5,,"=""T8363""","=""""",
"=""809.5466""","=""809.5458""","=""70""","=""1.5e+06""","=""1.5e-02""","=""1.2e+00""","=""-1.35""",D,"=""5.8624764""","=""7.3940044""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.(2P*<3/2>).6s<1/2>""","=""(3/2,1/2)*""","=""1""",3,3,,"=""T1619CA""","=""L3521""",
"=""""","=""811.481""","=""""","=""4.69e+04""","=""2.78e-04""","=""3.71e-02""","=""-2.857""",E,"=""6.0986113""","=""7.626487""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.5d""","=""3D*""","=""1""",5,3,,"=""T6066LS""","=""""",
"=""""","=""815.711""","=""""","=""4.16e+05""","=""4.15e-03""","=""5.57e-01""","=""-1.683""",E,"=""6.0986113""","=""7.618564""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.5d""","=""3D*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""823.2905""","=""""","=""35""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""835.6015""","=""""","=""3.40e+05""","=""3.56e-03""","=""4.89e-01""","=""-1.750""",D,"=""6.2226912""","=""7.7064630""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.6d""","=""1D*""","=""2""",5,5,,"=""T2301""","=""""",
"=""844.6302""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""850.3883""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""850.4557""","=""""","=""60""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""853.8510""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""855.9131""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""865.0838""","=""865.084""","=""50""","=""9.12e+06""","=""1.25e-01""","=""3.20e+01""","=""0.051""",C,"=""6.206004""","=""7.639208""","=""3s2.3p.3d""","=""3F*""","=""4""","=""3s2.3p.(2P*<3/2>).5f""","=""2[9/2]""","=""5""",9,11,,"=""T6066LS'""","=""L3521""",
"=""""","=""868.2464""","=""""","=""1.9e+04""","=""2.1e-04""","=""1.8e-02""","=""-3.19""",E,"=""5.8624764""","=""7.2904604""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.4d""","=""1P*""","=""1""",3,3,,"=""T1619CA""","=""""",
"=""873.0408""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""874.4852""","=""""","=""75""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""875.4413""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""879.2803""","=""""","=""35""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""890.167""","=""""","=""3.42e+06""","=""5.69e-02""","=""8.34e+00""","=""-0.546""",D+,"=""6.2226912""","=""7.615510""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.5d""","=""1F*""","=""3""",5,7,,"=""T6066""","=""""",
"=""""","=""897.060""","=""""","=""1.55e+05""","=""1.12e-03""","=""1.65e-01""","=""-2.252""",E,"=""6.2611819""","=""7.643299""","=""3s2.3p.3d""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",5,3,,"=""T6066LS'""","=""""",
"=""""","=""902.449""","=""""","=""2.29e+06""","=""2.79e-02""","=""2.49e+00""","=""-1.077""",D,"=""6.2694342""","=""7.643299""","=""3s2.3p.3d""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",3,3,,"=""T6066LS'""","=""""",
"=""""","=""905.394""","=""""","=""3.01e+06""","=""1.11e-01""","=""3.31e+00""","=""-0.955""",D+,"=""6.273903""","=""7.643299""","=""3s2.3p.3d""","=""3P*""","=""0""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",1,3,,"=""T6066LS'""","=""""",
"=""""","=""939.600""","=""""","=""8.95e+05""","=""3.95e-03""","=""3.67e-01""","=""-1.926""",E,"=""6.1247785""","=""7.444321""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""0""",3,1,,"=""T6066LS""","=""""",
"=""941.6089""","=""941.6082""","=""100""","=""2.26e+07""","=""1.00e-01""","=""9.30e+00""","=""-0.523""",C+,"=""5.0823459""","=""6.3990739""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""1S""","=""0""",3,1,,"=""T8363c22""","=""L3521""",
"=""""","=""942.4371""","=""""","=""8.86e+05""","=""1.18e-02""","=""1.10e+00""","=""-1.451""",D,"=""6.1247785""","=""7.4403485""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""""","=""950.7813""","=""""","=""8.63e+05""","=""1.95e-02""","=""1.83e+00""","=""-1.233""",D,"=""6.1247785""","=""7.4288029""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""988.9758""","=""""","=""5.67e+05""","=""8.32e-03""","=""1.35e+00""","=""-1.381""",D,"=""6.2226912""","=""7.4763538""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.5d""","=""1D*""","=""2""",5,5,,"=""T6066""","=""""",
"=""""","=""997.1865""","=""""","=""8.54e+05""","=""3.82e-02""","=""1.25e+00""","=""-1.418""",D,"=""6.0787337""","=""7.3220738""","=""3s2.3p.4p""","=""3P""","=""0""","=""3s2.3p.4d""","=""3D*""","=""1""",1,3,,"=""T6066LS""","=""""",
"=""""","=""1000.4095""","=""""","=""6.34e+05""","=""9.51e-03""","=""9.40e-01""","=""-1.545""",D,"=""6.0827393""","=""7.3220738""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.4d""","=""3D*""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""""","=""1002.849""","=""""","=""1.13e+06""","=""2.85e-02""","=""2.82e+00""","=""-1.068""",D,"=""6.0827393""","=""7.319059""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.4d""","=""3D*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""1007.109""","=""""","=""1.49e+06""","=""3.18e-02""","=""5.27e+00""","=""-0.799""",D+,"=""6.0986113""","=""7.329702""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.4d""","=""3D*""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""""","=""1013.3878""","=""""","=""4.07e+04""","=""3.76e-04""","=""6.27e-02""","=""-2.726""",E,"=""6.0986113""","=""7.3220738""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.4d""","=""3D*""","=""1""",5,3,,"=""T6066LS""","=""""",
"=""""","=""1015.891""","=""""","=""3.63e+05""","=""5.62e-03""","=""9.40e-01""","=""-1.551""",D,"=""6.0986113""","=""7.319059""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.4d""","=""3D*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""""","=""1029.1764""","=""""","=""7.01e+05""","=""3.34e-02""","=""1.13e+00""","=""-1.476""",C+,"=""4.9200852""","=""6.1247785""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.4p""","=""3S""","=""1""",1,3,,"=""T8363c22""","=""""",
"=""""","=""1031.602""","=""""","=""2.32e+06""","=""1.11e-01""","=""3.77e+00""","=""-0.955""",D+,"=""6.3990739""","=""7.600934""","=""3s2.3p.4p""","=""1S""","=""0""","=""3s2.3p.5d""","=""1P*""","=""1""",1,3,,"=""T6066""","=""""",
"=""1037.4111""","=""1037.4106""","=""30""","=""4.01e+06""","=""6.47e-02""","=""6.63e+00""","=""-0.712""",C+,"=""4.9296471""","=""6.1247785""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3S""","=""1""",3,3,,"=""T8363c22""","=""L3521""",
"=""1058.8041""","=""1058.8042""","=""120""","=""1.78e+07""","=""1.80e-01""","=""3.13e+01""","=""-0.046""",B,"=""4.9537952""","=""6.1247785""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3S""","=""1""",5,3,,"=""T8363c22""","=""L3521""",
"=""1060.6336""","=""1060.6330""","=""120""","=""5.21e+06""","=""1.47e-01""","=""1.54e+01""","=""-0.356""",C+,"=""4.9296471""","=""6.0986113""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3P""","=""2""",3,5,,"=""T8363c22""","=""L3521""",
"=""1066.3896""","=""1066.3893""","=""120""","=""9.27e+06""","=""4.74e-01""","=""1.66e+01""","=""-0.324""",C+,"=""4.9200852""","=""6.0827393""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.4p""","=""3P""","=""1""",1,3,,"=""T8363c22""","=""L3521""",
"=""""","=""1069.2645""","=""""","=""1.45e+07""","=""4.13e-01""","=""4.36e+01""","=""0.093""",C+,"=""5.9537304""","=""7.1132583""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.4d""","=""3F*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""1069.7181""","=""1069.7181""","=""30""","=""1.53e+07""","=""3.67e-01""","=""6.46e+01""","=""0.264""",C+,"=""5.9639280""","=""7.1229641""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.4d""","=""3F*""","=""3""",5,7,,"=""T6066LS""","=""L3521""",
"=""1073.0347""","=""1073.0345""","=""30""","=""1.70e+07""","=""3.78e-01""","=""9.35e+01""","=""0.423""",B,"=""5.9840096""","=""7.1394636""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.4d""","=""3F*""","=""4""",7,9,,"=""T6066LS""","=""L3521""",
"=""1075.2329""","=""1075.2323""","=""60""","=""1.03e+07""","=""1.78e-01""","=""1.89e+01""","=""-0.272""",C+,"=""4.9296471""","=""6.0827393""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3P""","=""1""",3,3,,"=""T8363c22""","=""L3521""",
"=""1078.7504""","=""1078.7517""","=""30""","=""2.61e+06""","=""4.56e-02""","=""8.10e+00""","=""-0.642""",D+,"=""5.9639280""","=""7.1132583""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.4d""","=""3F*""","=""2""",5,5,,"=""T6066LS""","=""L3521""",
"=""1078.9811""","=""1078.9804""","=""80""","=""2.48e+07""","=""1.44e-01""","=""1.54e+01""","=""-0.365""",C+,"=""4.9296471""","=""6.0787337""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3P""","=""0""",3,1,,"=""T8363c22""","=""L3521""",
"=""1083.0057""","=""1083.0054""","=""140""","=""1.97e+07""","=""3.47e-01""","=""6.18e+01""","=""0.239""",B,"=""4.9537952""","=""6.0986113""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3P""","=""2""",5,5,,"=""T8363c22""","=""L3521""",
"=""1084.6824""","=""1084.6828""","=""60""","=""1.88e+07""","=""5.53e-01""","=""5.92e+01""","=""0.220""",C+,"=""5.8624764""","=""7.0055221""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.4d""","=""1D*""","=""2""",3,5,,"=""T6066""","=""L3521""",
"=""1087.177""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""1087.2518""","=""1087.2514""","=""130""","=""2.18e+07""","=""6.44e-01""","=""6.92e+01""","=""0.286""",B,"=""5.0823459""","=""6.2226912""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""1D""","=""2""",3,5,,"=""T8363c22""","=""L3521""",
"=""1088.5783""","=""1088.5790""","=""30""","=""1.82e+06""","=""3.23e-02""","=""8.10e+00""","=""-0.646""",D+,"=""5.9840096""","=""7.1229641""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.4d""","=""3F*""","=""3""",7,7,,"=""T6066LS""","=""L3521""",
"=""1088.8318""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""1097.9353""","=""""","=""7.00e+04""","=""9.04e-04""","=""2.29e-01""","=""-2.199""",E,"=""5.9840096""","=""7.1132583""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.4d""","=""3F*""","=""2""",7,5,,"=""T6066LS""","=""""",
"=""1098.2315""","=""1098.2315""","=""80""","=""5.05e+06""","=""5.48e-02""","=""9.90e+00""","=""-0.562""",C+,"=""4.9537952""","=""6.0827393""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3P""","=""1""",5,3,,"=""T8363c22""","=""L3521""",
"=""1098.5069""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""1099.4424""","=""""","=""1.00e+00""","=""3.62e-09""","=""1.44e+02""","=""-7.74""",C,"=""0.7809579""","=""1.9086586""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p2""","=""1S""","=""0""",5,1,E2,"=""c22,T4209""","=""""",
"=""1102.0983""","=""""","=""80""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""1119.066""","=""""","=""13""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4745""",
"=""1129.293""","=""""","=""12""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4745""",
"=""""","=""1148.896""","=""""","=""5.34e+06""","=""1.48e-01""","=""2.80e+01""","=""-0.131""",C,"=""6.2226912""","=""7.301851""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.4d""","=""1F*""","=""3""",5,7,,"=""T6066""","=""""",
