Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""S II (3p3 2D*<5/2>)""","=""Limit""","=""---""",,"=""""","=""98443.92""","=""""","=""0.05""","=""""","=""                                                                 ""","=""L23116"""
"=""3s2.3p3.(2P*).4d""","=""3P*""","=""2""",4,"=""""","=""100303""","=""au""","=""11""","=""""","=""  64                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).4d""","=""3P*""","=""1""",2,"=""""","=""100303""","=""au""","=""34""","=""""","=""  60                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).4d""","=""3D*""","=""2""",4,"=""""","=""100534""","=""au""","=""21""","=""""","=""  95                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).4d""","=""3D*""","=""1""",2,"=""""","=""100534""","=""au""","=""4""","=""""","=""  97                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).4d""","=""3D*""","=""3""",6,"=""""","=""100540""","=""au""","=""20""","=""""","=""  97                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).6s""","=""3P*""","=""2""",4,"=""""","=""101006""","=""au""","=""9""","=""""","=""  80                             :    12  3s2.3p3.(2P*).4d  3P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).6s""","=""3P*""","=""1""",2,"=""""","=""101006""","=""au""","=""13""","=""""","=""  82                             :    11  3s2.3p3.(2P*).4d  3P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).6s""","=""3P*""","=""0""",1,"=""""","=""101006""","=""au""","=""14""","=""""","=""  84                             :    11  3s2.3p3.(2P*).4d  3P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).5d""","=""3P*""","=""2""",4,"=""""","=""103185""","=""au""","=""12""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).5d""","=""3P*""","=""1""",2,"=""""","=""103185""","=""au""","=""45""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).5d""","=""3D*""","=""2""",4,"=""""","=""103370""","=""au""","=""24""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).5d""","=""3D*""","=""3""",6,"=""""","=""103370""","=""au""","=""26""","=""""","=""  97                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).5d""","=""3D*""","=""1""",2,"=""""","=""103370""","=""au""","=""30""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).7s""","=""3P*""","=""1""",2,"=""""","=""103593""","=""au""","=""15""","=""""","=""  49                             :    21  3s2.3p3.(2P*).5d  3P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).7s""","=""3P*""","=""2""",4,"=""""","=""103593""","=""au""","=""13""","=""""","=""  74                             :    14  3s2.3p3.(2P*).5d  3P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).6d""","=""3P*""","=""2""",4,"=""""","=""104743""","=""au""","=""9""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).6d""","=""3P*""","=""1""",2,"=""""","=""104743""","=""au""","=""17""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).6d""","=""3P*""","=""0""",1,"=""""","=""104743""","=""au""","=""15""","=""""","=""  51                             :    39  3s2.3p3.(2P*).8s  3P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).6d""","=""3D*""","=""1""",2,"=""""","=""104866""","=""au""","=""38""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).6d""","=""3D*""","=""3""",6,"=""""","=""104866""","=""au""","=""28""","=""""","=""  97                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).6d""","=""3D*""","=""2""",4,"=""""","=""104866""","=""au""","=""26""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).8s""","=""3P*""","=""1""",2,"=""""","=""104989""","=""au""","=""16""","=""""","=""  31  3s2.3p3.(2P*).6d 1P*       :    30  3s2.3p3.(2P*).8s  3P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).8s""","=""3P*""","=""2""",4,"=""""","=""104989""","=""au""","=""13""","=""""","=""  91                             :     5  3s2.3p3.(2P*).6d  3P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).7d""","=""3P*""","=""1""",2,"=""""","=""105651""","=""au""","=""10""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).7d""","=""3P*""","=""2""",4,"=""""","=""105651""","=""au""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).7d""","=""3D*""","=""2""",4,"=""""","=""105742""","=""au""","=""25""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).7d""","=""3D*""","=""1""",2,"=""""","=""105742""","=""au""","=""33""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).7d""","=""3D*""","=""3""",6,"=""""","=""105742""","=""au""","=""27""","=""""","=""  96                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).9s""","=""3P*""","=""1""",2,"=""""","=""105837""","=""au""","=""14""","=""""","=""  57                             :    30  3s2.3p3.(2P*).9s  1P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).9s""","=""3P*""","=""2""",4,"=""""","=""105837""","=""au""","=""14""","=""""","=""  96                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).8d""","=""3P*""","=""1""",2,"=""""","=""106247""","=""u""","=""10""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).8d""","=""3P*""","=""2""",4,"=""""","=""106247""","=""u""","=""11""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).8d""","=""3D*""","=""3""",6,"=""""","=""106309""","=""au""","=""4""","=""""","=""  94                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).8d""","=""3D*""","=""1""",2,"=""""","=""106309""","=""au""","=""10""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).8d""","=""3D*""","=""2""",4,"=""""","=""106309""","=""au""","=""9""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).10s""","=""3P*""","=""2""",4,"=""""","=""106372""","=""au""","=""25""","=""""","=""  96                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).10s""","=""3P*""","=""1""",2,"=""""","=""106372""","=""au""","=""23""","=""""","=""  54                             :    27  3s2.3p3.(2P*).10s 1P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).9d""","=""3P*""","=""1""",2,"=""""","=""106614""","=""u""","=""23""","=""""","=""                                                                 ""","=""L23116,L7237"""
