obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""948.952768""","=""0.000015""","=""948.952759""","=""0.000009""","=""640""","=""""","=""""","=""""","=""""",,"=""1.980039530""","=""3.286576628""","=""6d3.(2D2).7s""","=""""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L5951""",
"=""949.34633""","=""0.00011""","=""949.346389""","=""0.000006""","=""31""","=""""","=""""","=""""","=""""",,"=""1.716904709""","=""3.022900075""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L5951""",
"=""949.64689""","=""0.00009""","=""949.646878""","=""0.000014""","=""41""","=""""","=""""","=""""","=""""",,"=""2.052464528""","=""3.358046648""","=""6d3.(2H).7s""","=""3H""","=""6""","=""""","=""*""","=""6""",13,13,,"=""""","=""L5951""",
"=""949.8102241""","=""0.0000018""","=""949.8102232""","=""0.0000018""","=""15000""","=""""","=""""","=""""","=""""",,"=""0.6151672932""","=""1.920524884""","=""6d2.7s2""","=""3F""","=""4""","=""5f.6d.7s2""","=""3G*""","=""5""",9,11,,"=""""","=""L18702""",
"=""949.87177""","=""0.00011""","=""949.871680""","=""0.000015""","=""31""","=""""","=""""","=""""","=""""",,"=""3.045256708""","=""4.350529842""","=""""","=""*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
"=""949.9793666""","=""0.0000018""","=""949.9793678""","=""0.0000018""","=""23000""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""1.305125170""","=""6d2.7s2""","=""3F""","=""2""","=""5f.6d.7s2""","=""3G*""","=""3""",5,7,,"=""""","=""L18702""",
"=""950.26604""","=""0.00006""","=""950.266040""","=""0.000019""","=""77""","=""""","=""""","=""""","=""""",,"=""1.472664364""","=""2.77739581""","=""6d.7s2.7p""","=""3D*""","=""1""","=""6d3.(2P).7s""","=""""","=""1""",3,3,,"=""""","=""L5951""",
"=""950.290551""","=""0.000018""","=""950.290546""","=""0.000005""","=""520""","=""""","=""""","=""""","=""""",,"=""1.501989980""","=""2.806687780""","=""5f.6d.7s2""","=""1D*""","=""2""","=""5f.7s2.7p""","=""3F""","=""3""",5,7,,"=""""","=""L5951""",
"=""950.40440""","=""0.00005""","=""950.404380""","=""0.000008""","=""79""","=""""","=""""","=""""","=""""",,"=""2.477968921""","=""3.782510451""","=""5f.6d2.7s""","=""5H*""","=""6""","=""""","=""""","=""5""",13,11,,"=""""","=""L5951""",
"=""950.799988""","=""0.000005""","=""950.799984""","=""0.000004""","=""3300""","=""""","=""""","=""""","=""""",,"=""1.215641081""","=""2.519639824""","=""6d3.(4F).7s""","=""5F""","=""5""","=""5f.6d.7s2""","=""1H*""","=""5""",11,11,,"=""""","=""L18702""",
