obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""1051.446""","=""1051.4469""","=""458""","=""8.8e+06""","=""2.9e-01""","=""2.0e+01""","=""-0.23""",D,"=""6.9356043""","=""8.1147813""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",2,4,,"=""T1619CA,LS""","=""L5148""",
"=""1053.241""","=""1053.2409""","=""962""","=""1.5e+07""","=""3.7e-01""","=""5.2e+01""","=""0.18""",D,"=""6.9543513""","=""8.1315198""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",4,6,,"=""T1619CA,LS""","=""L5148""",
"=""""","=""1058.3356""","=""""","=""2.1e+07""","=""4.7e-01""","=""9.8e+01""","=""0.45""",D,"=""6.9852271""","=""8.1567289""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",6,8,,"=""T1619CA,LS""","=""""",
"=""1058.447""","=""""","=""1235""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""1059.980""","=""1059.9806""","=""415""","=""1.7e+07""","=""2.9e-01""","=""2.0e+01""","=""-0.24""",D,"=""6.9356043""","=""8.1052879""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",2,2,,"=""T1619CA,LS""","=""L5148""",
"=""1068.433""","=""1068.4333""","=""435""","=""1.1e+07""","=""1.9e-01""","=""2.6e+01""","=""-0.12""",D,"=""6.9543513""","=""8.1147813""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,4,,"=""T1619CA,LS""","=""L5148""",
"=""""","=""1077.2461""","=""""","=""3.3e+06""","=""2.9e-02""","=""4.1e+00""","=""-0.94""",E,"=""6.9543513""","=""8.1052879""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",4,2,,"=""T1619CA,LS""","=""""",
"=""1081.609""","=""1081.6103""","=""265""","=""6.0e+06""","=""1.1e-01""","=""2.2e+01""","=""-0.20""",D,"=""6.9852271""","=""8.1315198""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",6,6,,"=""T1619CA,LS""","=""L5148""",
"=""1093.571""","=""""","=""134""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""1097.037""","=""""","=""103""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
