obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""1107.5778""","=""0.0007""","=""1107.5774+""","=""13""","=""""","=""""","=""""","=""""",,"=""5.5625605""","=""6.6819784""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""6p2.(3P<1>).7p""","=""2[0]*""","=""1/2""",4,2,,"=""""","=""L6416,L7407""",
"=""1155.4462""","=""0.0008""","=""1155.4460+""","=""4""","=""""","=""""","=""""","=""""",,"=""5.6928439""","=""6.7658859""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""","=""6p2.(3P<1>).7p""","=""2[2]*""","=""3/2""",2,4,,"=""""","=""L6416,L7407""",
"=""1171.4041""","=""0.0007""","=""1171.4041+""","=""90""","=""""","=""""","=""""","=""""",,"=""4.0404245""","=""5.0988483""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""",2,2,,"=""""","=""L6416,L7407""",
"=""1200.27""","=""0.03""","=""""","=""9""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7407""",
"=""1216.8448""","=""0.0008""","=""1216.8448+""","=""29""","=""""","=""""","=""""","=""""",,"=""5.3239458""","=""6.3428449""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L6416,L7407""",
"=""1237.8427""","=""0.0009""","=""1237.8427+""","=""2""","=""""","=""""","=""""","=""""",,"=""5.3239458""","=""6.3255610""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L6416,L7407""",
"=""1433.44""","=""0.06""","=""""","=""36""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7407""",
"=""1600.3877""","=""0.0013""","=""1600.386+""","=""11""","=""""","=""""","=""""","=""""",,"=""5.0988483""","=""5.8735626""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",2,2,,"=""""","=""L6416,L7407""",
"=""2255.8321""","=""0.003""","=""2255.830+""","=""26""","=""""","=""""","=""""","=""""",,"=""5.3239458""","=""5.8735626""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""3/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",4,2,,"=""""","=""L6416,L7407""",
"=""""","=""""","=""17343.5+""","=""""","=""5.00e+00""","=""4.51e-05""","=""5.15e-02""","=""-4.04""",B,"=""4.0404245""","=""4.1119118""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p3""","=""2P*""","=""3/2""",2,4,,"=""T8547""","=""""",
