obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""595.932""","=""0.005""","=""""","=""""","=""5""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""615.289""","=""0.005""","=""615.2839""","=""0.0019""","=""3""","=""""","=""""","=""""","=""""",,"=""2.069115""","=""4.084188""","=""7s.7p""","=""3P*""","=""2""","=""7p2?""","=""3P""","=""2""",5,5,,"=""""","=""L3527""",
"=""616.874""","=""0.005""","=""616.8757""","=""0.0024""","=""5""","=""1.46e+07""","=""6.0e-02""","=""8.5e+00""","=""-0.38""",C+,"=""1.823472""","=""3.833345""","=""7s.6d""","=""3D""","=""3""","=""6d.7p""","=""1D*""","=""2""",7,5,,"=""T8002""","=""L3527""",
"=""620.2016""","=""0.0020""","=""620.2020""","=""0.0016""","=""30""","=""2.5e+07""","=""2.0e-01""","=""2.1e+01""","=""0.01""",C+,"=""1.735027""","=""3.734121""","=""7s.6d""","=""3D""","=""2""","=""6d.7p""","=""3F*""","=""3""",5,7,,"=""T8002""","=""L3527""",
"=""633.8652""","=""0.0020""","=""633.8651""","=""0.0020""","=""10""","=""""","=""""","=""""","=""""",,"=""2.117813""","=""4.073815""","=""7s.6d""","=""1D""","=""2""","=""7s.8p""","=""1P*""","=""1""",5,3,,"=""""","=""L3527""",
"=""644.068""","=""0.005""","=""644.072""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""2.069115""","=""3.994121""","=""7s.7p""","=""3P*""","=""2""","=""7p2?""","=""1D""","=""2""",5,5,,"=""""","=""L3527""",
"=""644.7982""","=""0.0020""","=""644.7981""","=""0.0020""","=""20""","=""3.5e+07""","=""3.1e-01""","=""3.3e+01""","=""0.19""",D+,"=""2.069115""","=""3.991953""","=""7s.7p""","=""3P*""","=""2""","=""7s.7d""","=""3D""","=""3""",5,7,,"=""T8060""","=""L3527""",
"=""647.626""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""648.9113""","=""0.0020""","=""648.9112""","=""0.0017""","=""20""","=""9.9e+06""","=""6.3e-02""","=""9.4e+00""","=""-0.36""",C+,"=""1.823472""","=""3.734121""","=""7s.6d""","=""3D""","=""3""","=""6d.7p""","=""3F*""","=""3""",7,7,,"=""T8002""","=""L3527""",
"=""653.072""","=""0.005""","=""653.0723""","=""0.0020""","=""2""","=""""","=""""","=""""","=""""",,"=""2.069115""","=""3.967591""","=""7s.7p""","=""3P*""","=""2""","=""7s.7d""","=""3D""","=""1""",5,3,,"=""""","=""L3527""",
"=""653.388""","=""0.005""","=""653.387""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""2.069115""","=""3.966676""","=""7s.7p""","=""3P*""","=""2""","=""7s.7d""","=""3D""","=""2""",5,5,,"=""""","=""L3527""",
"=""654.774""","=""0.005""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""658.723""","=""0.005""","=""""","=""""","=""4""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""660.129""","=""0.005""","=""660.128""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""2.117813""","=""3.995997""","=""7s.6d""","=""1D""","=""2""","=""6d.7p""","=""3D*""","=""1""",5,3,,"=""""","=""L3527""",
"=""664.779""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""665.517""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""676.007""","=""0.005""","=""675.998""","=""0.004""","=""4""","=""""","=""""","=""""","=""""",,"=""2.117813""","=""3.951903""","=""7s.6d""","=""1D""","=""2""","=""7s.8p""","=""3P*""","=""2""",5,5,,"=""""","=""L3527,L15862""",
"=""690.500""","=""0.005""","=""690.508""","=""0.004""","=""3""","=""""","=""""","=""""","=""""",,"=""2.117813""","=""3.913363""","=""7s.6d""","=""1D""","=""2""","=""7s.8p""","=""3P*""","=""1""",5,3,,"=""""","=""L3527""",
"=""698.2145""","=""0.0020""","=""698.2157""","=""0.0017""","=""20""","=""1.66e+07""","=""2.0e-01""","=""1.39e+01""","=""-0.22""",C+,"=""1.7005399""","=""3.476269""","=""7s.6d""","=""3D""","=""1""","=""6d.7p""","=""3F*""","=""2""",3,5,,"=""T8002""","=""L3527""",
"=""712.0462""","=""0.0020""","=""712.0448""","=""0.0017""","=""20""","=""9.7e+06""","=""7.4e-02""","=""8.7e+00""","=""-0.43""",C+,"=""1.735027""","=""3.476269""","=""7s.6d""","=""3D""","=""2""","=""6d.7p""","=""3F*""","=""2""",5,5,,"=""T8002""","=""L3527""",
"=""714.31853""","=""0.00005""","=""714.31853""","=""0.00005""","=""50""","=""2.37e+06""","=""5.4e-02""","=""1.28e+00""","=""-1.264""",B+,"=""0.00000000""","=""1.73569904""","=""7s2""","=""1S""","=""0""","=""7s.7p""","=""3P*""","=""1""",1,3,,"=""T7904""","=""L3527,L19075""",
"=""722.7151""","=""0.0020""","=""722.7157""","=""0.0019""","=""20""","=""3.5e+07""","=""2.7e-01""","=""3.3e+01""","=""0.14""",C+,"=""2.117813""","=""3.833345""","=""7s.6d""","=""1D""","=""2""","=""6d.7p""","=""1D*""","=""2""",5,5,,"=""T8002""","=""L3527""",
"=""731.2284""","=""0.0020""","=""731.2283""","=""0.0018""","=""10""","=""8.5e+06""","=""2.0e-01""","=""4.9e+00""","=""-0.69""",C+,"=""1.621515""","=""3.317076""","=""7s.7p""","=""3P*""","=""0""","=""7s.8s""","=""3S""","=""1""",1,3,,"=""T8002""","=""L3527""",
"=""747.027""","=""0.005""","=""""","=""""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""750.194""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""756.757""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""783.825""","=""0.005""","=""""","=""""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""784.0277""","=""0.0020""","=""784.0270""","=""0.0018""","=""20""","=""2.1e+07""","=""2.0e-01""","=""1.51e+01""","=""-0.23""",C+,"=""1.73569904""","=""3.317076""","=""7s.7p""","=""3P*""","=""1""","=""7s.8s""","=""3S""","=""1""",3,3,,"=""T8002""","=""L3527""",
