obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""647.1470""","=""0.0006""","=""647.1471""","=""0.0003""","=""730cl""","=""1.2e+06""","=""1.0e-02""","=""1.3e+00""","=""-1.23""",D+,"=""0.2766623""","=""2.1925203""","=""6d.7s2""","=""2D""","=""5/2""","=""6d.7s.(3D).7p""","=""4F*""","=""7/2""",6,8,,"=""T10105""","=""L7344""",
"=""662.0018""","=""0.0006""","=""662.0015""","=""0.0003""","=""210""","=""""","=""""","=""""","=""""",,"=""1.2229292""","=""3.0957979""","=""6d2.(3F).7s""","=""4F""","=""5/2""","=""6d.7s.(3D).7p""","=""2F*""","=""7/2""",6,8,,"=""""","=""L7344""",
"=""669.3117""","=""0.0006""","=""669.31206""","=""0.00018""","=""5000cl""","=""3.8e+06""","=""3.8e-02""","=""3.3e+00""","=""-0.82""",D+,"=""0.0000000""","=""1.8524124""","=""6d.7s2""","=""2D""","=""3/2""","=""6d.7s.(3D).7p""","=""4F*""","=""5/2""",4,6,,"=""T10463""","=""L7344""",
"=""729.2405""","=""0.0006""","=""729.2402""","=""0.0003""","=""2400c""","=""2.38e+06""","=""1.90e-02""","=""1.82e+00""","=""-1.120""",B+,"=""0.0000000""","=""1.7001832""","=""6d.7s2""","=""2D""","=""3/2""","=""6d.7s.(3D).7p""","=""4F*""","=""3/2""",4,4,,"=""T10105n,T10228""","=""L21471,L7344""",
"=""786.8266""","=""0.0006""","=""786.8265""","=""0.0003""","=""970cl""","=""1.56e+06""","=""1.44e-02""","=""2.24e+00""","=""-1.06""",C+,"=""0.2766623""","=""1.8524124""","=""6d.7s2""","=""2D""","=""5/2""","=""6d.7s.(3D).7p""","=""4F*""","=""5/2""",6,6,,"=""T10105""","=""L7344""",
"=""814.5584""","=""0.0013""","=""814.5584""","=""0.0009""","=""250""","=""2.8e+05""","=""2.8e-03""","=""3.0e-01""","=""-1.96""",C,"=""0.0000000""","=""1.5221033""","=""6d.7s2""","=""2D""","=""3/2""","=""7s2.7p""","=""2P*""","=""3/2""",4,4,,"=""T10105n,T10228""","=""L21471""",
"=""870.968""","=""""","=""870.9686""","=""0.0008""","=""170:""","=""1.7e+05""","=""1.3e-03""","=""2.3e-01""","=""-2.10""",C,"=""0.2766623""","=""1.7001832""","=""6d.7s2""","=""2D""","=""5/2""","=""6d.7s.(3D).7p""","=""4F*""","=""3/2""",6,4,,"=""T10105n,T10228""","=""L21471""",
"=""995.505""","=""""","=""995.5044""","=""0.0021""","=""2800:""","=""3.64e+06""","=""3.60e-02""","=""7.08e+00""","=""-0.665""",B+,"=""0.2766623""","=""1.5221033""","=""6d.7s2""","=""2D""","=""5/2""","=""7s2.7p""","=""2P*""","=""3/2""",6,4,,"=""T10105n,T10228""","=""L21471""",
"=""""","=""""","=""1013.8298""","=""0.0012""","=""""","=""9.e-02""","=""2.e-09""","=""""","=""-8""",D,"=""0.0000000""","=""1.2229292""","=""6d.7s2""","=""2D""","=""3/2""","=""6d2.(3F).7s""","=""4F""","=""5/2""",4,6,M1+E2,"=""T10463""","=""""",
"=""""","=""""","=""1015.5754""","=""0.0019""","=""""","=""2.7e-02""","=""7.0e-10""","=""2.6e+01""","=""-8.4""",E,"=""0.2766623""","=""1.4974895""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3F).7s""","=""4F""","=""9/2""",6,10,E2,"=""T10463""","=""""",
"=""""","=""""","=""1152.7916""","=""0.0024""","=""""","=""3.3e-02""","=""8.8e-10""","=""""","=""-8.3""",D+,"=""0.2766623""","=""1.3521750""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3F).7s""","=""4F""","=""7/2""",6,8,M1+E2,"=""T10463""","=""""",
"=""""","=""""","=""1310.246""","=""0.003""","=""""","=""5.3e-03""","=""1.4e-10""","=""""","=""-9.1""",C,"=""0.2766623""","=""1.2229292""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3F).7s""","=""4F""","=""5/2""",6,6,M1+E2,"=""T10463""","=""""",
"=""1337.371""","=""0.007""","=""1337.370""","=""0.013""","=""1500""","=""1.497e+06""","=""2.01e-02""","=""3.53e+00""","=""-1.095""",A+,"=""0.0000000""","=""0.927074""","=""6d.7s2""","=""2D""","=""3/2""","=""7s2.7p""","=""2P*""","=""1/2""",4,2,,"=""T10228""","=""L21471""",
"=""""","=""""","=""4481.4""","=""0.3""","=""""","=""1.204e-01""","=""5.438e-08""","=""2.411e+00""","=""-6.663""",AA,"=""0.0000000""","=""0.2766623""","=""6d.7s2""","=""2D""","=""3/2""","=""6d.7s2""","=""2D""","=""5/2""",4,6,M1,"=""T10463""","=""""",
"=""""","=""""","=""8532""","=""8""","=""""","=""4.11e-02""","=""5.61e-08""","=""9.47e+00""","=""-6.35""",A+,"=""1.3521750""","=""1.4974895""","=""6d2.(3F).7s""","=""4F""","=""7/2""","=""6d2.(3F).7s""","=""4F""","=""9/2""",8,10,M1,"=""T10463""","=""""",
"=""""","=""""","=""9593""","=""10""","=""""","=""4.53e-02""","=""8.33e-08""","=""1.186e+01""","=""-6.30""",A+,"=""1.2229292""","=""1.3521750""","=""6d2.(3F).7s""","=""4F""","=""5/2""","=""6d2.(3F).7s""","=""4F""","=""7/2""",6,8,M1,"=""T10463""","=""""",
"=""""","=""""","=""15470""","=""70""","=""""","=""1.071e-02""","=""5.766e-08""","=""8.83e+00""","=""-6.637""",A+,"=""1.1427981""","=""1.2229292""","=""6d2.(3F).7s""","=""4F""","=""3/2""","=""6d2.(3F).7s""","=""4F""","=""5/2""",4,6,M1,"=""T10463""","=""""",
